,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM
2,202049,Ben,Taylor,46  
0,1148,James,Capers,19  
1,1664,Gary,Zielinski,59  
2,200833,Eric,Dalen,37  
0,1174,Ken,Mauer,41  
1,1363,Bennie,Adams,47  
2,202027,Tre,Maddox,73  
0,1164,Ron,Garretson,10  
1,202026,Karl,Lane,77  
2,202041,Kevin,Scott,28  
0,1199,Tom,Washington,49  
1,2004,Courtney,Kirkland,61  
2,203591,Mitchell,Ervin,27  
0,1193,Michael,Smith,38  
1,201245,Marat,Kogut,32  
2,202058,James,Williams,60  
0,1152,Dan,Crawford,43  
1,2003,Pat,Fraher,26  
2,201637,Haywoode,Workman,66  
0,2529,Tony,Brown,6   
1,2534,Zach,Zarba,15  
2,203593,Justin,VanDuyne,64  
0,1179,Rodney,Mott,71  
1,1664,Gary,Zielinski,59  
2,200832,Curtis,Blair,74  
0,2002,Derrick,Collins,11  
1,101284,John,Goble,30  
2,202027,Tre,Maddox,73  
0,1147,Mike,Callahan,24  
1,1204,Derek,Richardson,63  
2,203592,Dedric,Taylor,21  
0,1201,Leon,Wood,40  
1,1830,Marc,Davis,8   
2,201638,Brent,Barnaky,70  
0,1146,Tony,Brothers,25  
1,200834,Mark,Lindsay,29  
2,202053,Scott,Twardoski,52  
0,2530,Ed,Malloy,14  
1,2715,Eric,Lewis,42  
2,202037,J.T.,Orr,72  
0,1176,Monty,McCutchen,13  
1,201639,Josh,Tiven,58  
2,203177,Lauren,Holtkamp,7   
0,1662,Bill,Kennedy,55  
1,2532,Eli,Roe,44  
2,2714,David,Guthrie,16  
0,1148,James,Capers,19  
1,200833,Eric,Dalen,37  
2,202049,Ben,Taylor,46  
0,1162,Scott,Foster,48  
1,2002,Derrick,Collins,11  
2,200832,Curtis,Blair,74  
0,101284,John,Goble,30  
1,202035,Brett,Nansel,67  
2,202041,Kevin,Scott,28  
0,1363,Bennie,Adams,47  
1,1662,Bill,Kennedy,55  
2,202000,Steve,Anderson,35  
0,1151,Sean,Corbin,33  
1,101283,Brian,Forte,45  
2,204058,Gediminas,Petraitis,50  
0,1164,Ron,Garretson,10  
1,1188,Leroy,Richardson,20  
2,202026,Karl,Lane,77  
0,1830,Marc,Davis,8   
1,2529,Tony,Brown,6   
2,203591,Mitchell,Ervin,27  
0,1176,Monty,McCutchen,13  
1,202053,Scott,Twardoski,52  
2,202058,James,Williams,60  
0,1168,David,Jones,36  
1,1179,Rodney,Mott,71  
2,202000,Steve,Anderson,35  
0,1147,Mike,Callahan,24  
1,202007,Nick,Buchert,3   
2,204059,Tyler,Ford,39  
0,1193,Michael,Smith,38  
1,201639,Josh,Tiven,58  
2,203592,Dedric,Taylor,21  
0,101283,Brian,Forte,45  
1,200834,Mark,Lindsay,29  
2,201245,Marat,Kogut,32  
0,1174,Ken,Mauer,41  
1,2715,Eric,Lewis,42  
2,202027,Tre,Maddox,73  
0,1148,James,Capers,19  
1,1188,Leroy,Richardson,20  
2,202037,J.T.,Orr,72  
0,2882,Sean,Wright,4   
1,202007,Nick,Buchert,3   
2,204059,Tyler,Ford,39  
0,1152,Dan,Crawford,43  
1,1662,Bill,Kennedy,55  
2,203591,Mitchell,Ervin,27  
0,1176,Monty,McCutchen,13  
1,202058,James,Williams,60  
2,203592,Dedric,Taylor,21  
0,1146,Tony,Brothers,25  
1,1198,Scott,Wall,31  
2,1201,Leon,Wood,40  
0,1151,Sean,Corbin,33  
1,1195,Derrick,Stafford,9   
2,1626302,Aaron,Smith,68  
0,2001,Jason,Phillips,23  
1,2004,Courtney,Kirkland,61  
2,202049,Ben,Taylor,46  
0,2715,Eric,Lewis,42  
1,201246,Kevin,Cutler,34  
2,202041,Kevin,Scott,28  
0,2005,Matt,Boland,18  
1,2530,Ed,Malloy,14  
2,202026,Karl,Lane,77  
0,1162,Scott,Foster,48  
1,200832,Curtis,Blair,74  
2,200833,Eric,Dalen,37  
0,2002,Derrick,Collins,11  
1,2714,David,Guthrie,16  
2,101284,John,Goble,30  
0,1174,Ken,Mauer,41  
1,2148,Mark,Ayotte,56  
2,2532,Eli,Roe,44  
0,1199,Tom,Washington,49  
1,201640,Kane,Fitzgerald,5   
2,203177,Lauren,Holtkamp,7   
0,1179,Rodney,Mott,71  
1,200834,Mark,Lindsay,29  
2,202049,Ben,Taylor,46  
0,1164,Ron,Garretson,10  
1,2004,Courtney,Kirkland,61  
2,201638,Brent,Barnaky,70  
0,1148,James,Capers,19  
1,1188,Leroy,Richardson,20  
2,201637,Haywoode,Workman,66  
0,1162,Scott,Foster,48  
1,2005,Matt,Boland,18  
2,200832,Curtis,Blair,74  
0,1193,Michael,Smith,38  
1,202007,Nick,Buchert,3   
2,202027,Tre,Maddox,73  
0,1176,Monty,McCutchen,13  
1,2715,Eric,Lewis,42  
2,202037,J.T.,Orr,72  
0,101283,Brian,Forte,45  
1,202058,James,Williams,60  
2,204058,Gediminas,Petraitis,50  
0,1174,Ken,Mauer,41  
1,2529,Tony,Brown,6   
2,2532,Eli,Roe,44  
0,1146,Tony,Brothers,25  
1,1198,Scott,Wall,31  
2,203593,Justin,VanDuyne,64  
0,1195,Derrick,Stafford,9   
1,2002,Derrick,Collins,11  
2,201245,Marat,Kogut,32  
0,1830,Marc,Davis,8   
1,200833,Eric,Dalen,37  
2,202000,Steve,Anderson,35  
0,1151,Sean,Corbin,33  
1,201637,Haywoode,Workman,66  
2,202053,Scott,Twardoski,52  
0,1168,David,Jones,36  
1,1204,Derek,Richardson,63  
2,101284,John,Goble,30  
0,1179,Rodney,Mott,71  
1,1188,Leroy,Richardson,20  
2,202027,Tre,Maddox,73  
0,1147,Mike,Callahan,24  
1,202041,Kevin,Scott,28  
2,1626302,Aaron,Smith,68  
0,1146,Tony,Brothers,25  
1,201639,Josh,Tiven,58  
2,204059,Tyler,Ford,39  
0,2004,Courtney,Kirkland,61  
1,101283,Brian,Forte,45  
2,203592,Dedric,Taylor,21  
0,1201,Leon,Wood,40  
1,1363,Bennie,Adams,47  
2,2001,Jason,Phillips,23  
0,1164,Ron,Garretson,10  
1,200832,Curtis,Blair,74  
2,201638,Brent,Barnaky,70  
0,1152,Dan,Crawford,43  
1,2714,David,Guthrie,16  
2,201246,Kevin,Cutler,34  
0,2005,Matt,Boland,18  
1,2530,Ed,Malloy,14  
2,202053,Scott,Twardoski,52  
0,2882,Sean,Wright,4   
1,202007,Nick,Buchert,3   
2,203593,Justin,VanDuyne,64  
0,1195,Derrick,Stafford,9   
1,1204,Derek,Richardson,63  
2,201638,Brent,Barnaky,70  
0,1151,Sean,Corbin,33  
1,1193,Michael,Smith,38  
2,101284,John,Goble,30  
0,1662,Bill,Kennedy,55  
1,2714,David,Guthrie,16  
2,202035,Brett,Nansel,67  
0,1198,Scott,Wall,31  
1,2530,Ed,Malloy,14  
2,201637,Haywoode,Workman,66  
0,2715,Eric,Lewis,42  
1,201639,Josh,Tiven,58  
2,202026,Karl,Lane,77  
0,1201,Leon,Wood,40  
1,2001,Jason,Phillips,23  
2,200834,Mark,Lindsay,29  
0,1147,Mike,Callahan,24  
1,1188,Leroy,Richardson,20  
2,202049,Ben,Taylor,46  
0,2534,Zach,Zarba,15  
1,101283,Brian,Forte,45  
2,203177,Lauren,Holtkamp,7   
0,1168,David,Jones,36  
1,2882,Sean,Wright,4   
2,201245,Marat,Kogut,32  
0,1148,James,Capers,19  
1,1363,Bennie,Adams,47  
2,2532,Eli,Roe,44  
0,1830,Marc,Davis,8   
1,2004,Courtney,Kirkland,61  
2,202000,Steve,Anderson,35  
0,1174,Ken,Mauer,41  
1,201640,Kane,Fitzgerald,5   
2,202027,Tre,Maddox,73  
0,1179,Rodney,Mott,71  
1,200833,Eric,Dalen,37  
2,201246,Kevin,Cutler,34  
0,1152,Dan,Crawford,43  
1,202037,J.T.,Orr,72  
2,202058,James,Williams,60  
0,1662,Bill,Kennedy,55  
1,201638,Brent,Barnaky,70  
2,203591,Mitchell,Ervin,27  
0,1199,Tom,Washington,49  
1,1204,Derek,Richardson,63  
2,2148,Mark,Ayotte,56  
0,1193,Michael,Smith,38  
1,2005,Matt,Boland,18  
2,203593,Justin,VanDuyne,64  
0,1146,Tony,Brothers,25  
1,1198,Scott,Wall,31  
2,202053,Scott,Twardoski,52  
0,1147,Mike,Callahan,24  
1,1662,Bill,Kennedy,55  
2,200833,Eric,Dalen,37  
0,1148,James,Capers,19  
1,1168,David,Jones,36  
2,1201,Leon,Wood,40  
0,1162,Scott,Foster,48  
1,200832,Curtis,Blair,74  
2,200834,Mark,Lindsay,29  
0,101284,John,Goble,30  
1,201640,Kane,Fitzgerald,5   
2,204059,Tyler,Ford,39  
0,2001,Jason,Phillips,23  
1,2529,Tony,Brown,6   
2,202041,Kevin,Scott,28  
0,1195,Derrick,Stafford,9   
1,2715,Eric,Lewis,42  
2,202049,Ben,Taylor,46  
0,1174,Ken,Mauer,41  
1,2148,Mark,Ayotte,56  
2,201246,Kevin,Cutler,34  
0,1664,Gary,Zielinski,59  
1,2882,Sean,Wright,4   
2,203177,Lauren,Holtkamp,7   
0,1830,Marc,Davis,8   
1,2003,Pat,Fraher,26  
2,201637,Haywoode,Workman,66  
0,1164,Ron,Garretson,10  
1,201639,Josh,Tiven,58  
2,203593,Justin,VanDuyne,64  
0,1152,Dan,Crawford,43  
1,202058,James,Williams,60  
2,204058,Gediminas,Petraitis,50  
0,1188,Leroy,Richardson,20  
1,2534,Zach,Zarba,15  
2,101283,Brian,Forte,45  
0,1151,Sean,Corbin,33  
1,2532,Eli,Roe,44  
2,2714,David,Guthrie,16  
0,1179,Rodney,Mott,71  
1,1198,Scott,Wall,31  
2,203591,Mitchell,Ervin,27  
0,1146,Tony,Brothers,25  
1,202007,Nick,Buchert,3   
2,202037,J.T.,Orr,72  
0,1164,Ron,Garretson,10  
1,1363,Bennie,Adams,47  
2,202027,Tre,Maddox,73  
0,1162,Scott,Foster,48  
1,1168,David,Jones,36  
2,201246,Kevin,Cutler,34  
0,1664,Gary,Zielinski,59  
1,101284,John,Goble,30  
2,203177,Lauren,Holtkamp,7   
0,1193,Michael,Smith,38  
1,202041,Kevin,Scott,28  
2,202049,Ben,Taylor,46  
0,1195,Derrick,Stafford,9   
1,2005,Matt,Boland,18  
2,203592,Dedric,Taylor,21  
0,1147,Mike,Callahan,24  
1,200834,Mark,Lindsay,29  
2,201245,Marat,Kogut,32  
0,1201,Leon,Wood,40  
1,1830,Marc,Davis,8   
2,202027,Tre,Maddox,73  
0,1148,James,Capers,19  
1,1662,Bill,Kennedy,55  
2,2532,Eli,Roe,44  
0,1179,Rodney,Mott,71  
1,201639,Josh,Tiven,58  
2,202037,J.T.,Orr,72  
0,1199,Tom,Washington,49  
1,202007,Nick,Buchert,3   
2,204058,Gediminas,Petraitis,50  
0,1151,Sean,Corbin,33  
1,201245,Marat,Kogut,32  
2,201639,Josh,Tiven,58  
0,1188,Leroy,Richardson,20  
1,1194,Bill,Spooner,22  
2,201638,Brent,Barnaky,70  
0,2005,Matt,Boland,18  
1,101283,Brian,Forte,45  
2,202041,Kevin,Scott,28  
0,1201,Leon,Wood,40  
1,2001,Jason,Phillips,23  
2,201246,Kevin,Cutler,34  
0,1174,Ken,Mauer,41  
1,2529,Tony,Brown,6   
2,204059,Tyler,Ford,39  
0,1151,Sean,Corbin,33  
1,1152,Dan,Crawford,43  
2,201245,Marat,Kogut,32  
0,1199,Tom,Washington,49  
1,201639,Josh,Tiven,58  
2,202035,Brett,Nansel,67  
0,2534,Zach,Zarba,15  
1,201640,Kane,Fitzgerald,5   
2,202053,Scott,Twardoski,52  
0,1146,Tony,Brothers,25  
1,2148,Mark,Ayotte,56  
2,202000,Steve,Anderson,35  
0,2882,Sean,Wright,4   
1,202058,James,Williams,60  
2,204058,Gediminas,Petraitis,50  
0,1195,Derrick,Stafford,9   
1,1204,Derek,Richardson,63  
2,203592,Dedric,Taylor,21  
0,1162,Scott,Foster,48  
1,202007,Nick,Buchert,3   
2,203593,Justin,VanDuyne,64  
0,1193,Michael,Smith,38  
1,1363,Bennie,Adams,47  
2,200833,Eric,Dalen,37  
0,1664,Gary,Zielinski,59  
1,2532,Eli,Roe,44  
2,101284,John,Goble,30  
0,2003,Pat,Fraher,26  
1,200832,Curtis,Blair,74  
2,200834,Mark,Lindsay,29  
0,1188,Leroy,Richardson,20  
1,1194,Bill,Spooner,22  
2,2529,Tony,Brown,6   
0,1164,Ron,Garretson,10  
1,2714,David,Guthrie,16  
2,202037,J.T.,Orr,72  
0,1152,Dan,Crawford,43  
1,202041,Kevin,Scott,28  
2,204058,Gediminas,Petraitis,50  
0,2148,Mark,Ayotte,56  
1,2882,Sean,Wright,4   
2,202027,Tre,Maddox,73  
0,1662,Bill,Kennedy,55  
1,201639,Josh,Tiven,58  
2,1626302,Aaron,Smith,68  
0,2534,Zach,Zarba,15  
1,201640,Kane,Fitzgerald,5   
2,202000,Steve,Anderson,35  
0,1147,Mike,Callahan,24  
1,202053,Scott,Twardoski,52  
2,202058,James,Williams,60  
0,1164,Ron,Garretson,10  
1,1168,David,Jones,36  
2,203593,Justin,VanDuyne,64  
0,1162,Scott,Foster,48  
1,1198,Scott,Wall,31  
2,203592,Dedric,Taylor,21  
0,1148,James,Capers,19  
1,101283,Brian,Forte,45  
2,204059,Tyler,Ford,39  
0,1174,Ken,Mauer,41  
1,200832,Curtis,Blair,74  
2,200833,Eric,Dalen,37  
0,1151,Sean,Corbin,33  
1,201637,Haywoode,Workman,66  
2,202007,Nick,Buchert,3   
0,1363,Bennie,Adams,47  
1,101284,John,Goble,30  
2,203177,Lauren,Holtkamp,7   
0,1199,Tom,Washington,49  
1,201638,Brent,Barnaky,70  
2,203591,Mitchell,Ervin,27  
0,2882,Sean,Wright,4   
1,201246,Kevin,Cutler,34  
2,201640,Kane,Fitzgerald,5   
0,1830,Marc,Davis,8   
1,2714,David,Guthrie,16  
2,203177,Lauren,Holtkamp,7   
0,1176,Monty,McCutchen,13  
1,2002,Derrick,Collins,11  
2,202049,Ben,Taylor,46  
0,1195,Derrick,Stafford,9   
1,201637,Haywoode,Workman,66  
2,202007,Nick,Buchert,3   
0,1664,Gary,Zielinski,59  
1,2003,Pat,Fraher,26  
2,202041,Kevin,Scott,28  
0,1151,Sean,Corbin,33  
1,1188,Leroy,Richardson,20  
2,202000,Steve,Anderson,35  
0,1194,Bill,Spooner,22  
1,200834,Mark,Lindsay,29  
2,202026,Karl,Lane,77  
0,1147,Mike,Callahan,24  
1,2529,Tony,Brown,6   
2,203591,Mitchell,Ervin,27  
0,1193,Michael,Smith,38  
1,1201,Leon,Wood,40  
2,2001,Jason,Phillips,23  
0,1152,Dan,Crawford,43  
1,2715,Eric,Lewis,42  
2,201245,Marat,Kogut,32  
0,1174,Ken,Mauer,41  
1,1363,Bennie,Adams,47  
2,204058,Gediminas,Petraitis,50  
0,1164,Ron,Garretson,10  
1,2532,Eli,Roe,44  
2,101283,Brian,Forte,45  
0,1148,James,Capers,19  
1,200833,Eric,Dalen,37  
2,203593,Justin,VanDuyne,64  
0,101284,John,Goble,30  
1,200834,Mark,Lindsay,29  
2,202026,Karl,Lane,77  
0,2534,Zach,Zarba,15  
1,201638,Brent,Barnaky,70  
2,202053,Scott,Twardoski,52  
0,1168,David,Jones,36  
1,2715,Eric,Lewis,42  
2,203592,Dedric,Taylor,21  
0,1162,Scott,Foster,48  
1,1204,Derek,Richardson,63  
2,2148,Mark,Ayotte,56  
0,1199,Tom,Washington,49  
1,2002,Derrick,Collins,11  
2,201637,Haywoode,Workman,66  
0,1830,Marc,Davis,8   
1,2005,Matt,Boland,18  
2,201640,Kane,Fitzgerald,5   
0,1151,Sean,Corbin,33  
1,2714,David,Guthrie,16  
2,202037,J.T.,Orr,72  
0,1146,Tony,Brothers,25  
1,2003,Pat,Fraher,26  
2,201246,Kevin,Cutler,34  
0,1193,Michael,Smith,38  
1,1195,Derrick,Stafford,9   
2,202053,Scott,Twardoski,52  
0,1662,Bill,Kennedy,55  
1,2001,Jason,Phillips,23  
2,202027,Tre,Maddox,73  
0,1147,Mike,Callahan,24  
1,1201,Leon,Wood,40  
2,2529,Tony,Brown,6   
0,1164,Ron,Garretson,10  
1,101283,Brian,Forte,45  
2,204058,Gediminas,Petraitis,50  
0,1174,Ken,Mauer,41  
1,202058,James,Williams,60  
2,203177,Lauren,Holtkamp,7   
0,1199,Tom,Washington,49  
1,200834,Mark,Lindsay,29  
2,201246,Kevin,Cutler,34  
0,1830,Marc,Davis,8   
1,201640,Kane,Fitzgerald,5   
2,203593,Justin,VanDuyne,64  
0,101284,John,Goble,30  
1,201639,Josh,Tiven,58  
2,203591,Mitchell,Ervin,27  
0,1152,Dan,Crawford,43  
1,201245,Marat,Kogut,32  
2,202041,Kevin,Scott,28  
0,1148,James,Capers,19  
1,2002,Derrick,Collins,11  
2,200833,Eric,Dalen,37  
0,1662,Bill,Kennedy,55  
1,2001,Jason,Phillips,23  
2,202027,Tre,Maddox,73  
0,1162,Scott,Foster,48  
1,1198,Scott,Wall,31  
2,200832,Curtis,Blair,74  
0,1151,Sean,Corbin,33  
1,1204,Derek,Richardson,63  
2,2534,Zach,Zarba,15  
0,1176,Monty,McCutchen,13  
1,1664,Gary,Zielinski,59  
2,2005,Matt,Boland,18  
0,1146,Tony,Brothers,25  
1,2148,Mark,Ayotte,56  
2,202049,Ben,Taylor,46  
0,1194,Bill,Spooner,22  
1,1201,Leon,Wood,40  
2,2529,Tony,Brown,6   
0,1195,Derrick,Stafford,9   
1,1363,Bennie,Adams,47  
2,202037,J.T.,Orr,72  
0,1176,Monty,McCutchen,13  
1,201637,Haywoode,Workman,66  
2,201638,Brent,Barnaky,70  
0,2715,Eric,Lewis,42  
1,200834,Mark,Lindsay,29  
2,201246,Kevin,Cutler,34  
0,2534,Zach,Zarba,15  
1,201640,Kane,Fitzgerald,5   
2,204059,Tyler,Ford,39  
0,2005,Matt,Boland,18  
1,101283,Brian,Forte,45  
2,201639,Josh,Tiven,58  
0,1199,Tom,Washington,49  
1,2532,Eli,Roe,44  
2,202058,James,Williams,60  
0,1830,Marc,Davis,8   
1,200832,Curtis,Blair,74  
2,202041,Kevin,Scott,28  
0,1168,David,Jones,36  
1,1662,Bill,Kennedy,55  
2,201245,Marat,Kogut,32  
0,101284,John,Goble,30  
1,202007,Nick,Buchert,3   
2,203593,Justin,VanDuyne,64  
0,1363,Bennie,Adams,47  
1,2714,David,Guthrie,16  
2,203592,Dedric,Taylor,21  
0,1188,Leroy,Richardson,20  
1,1198,Scott,Wall,31  
2,2003,Pat,Fraher,26  
0,1174,Ken,Mauer,41  
1,202041,Kevin,Scott,28  
2,202053,Scott,Twardoski,52  
0,1201,Leon,Wood,40  
1,2001,Jason,Phillips,23  
2,202007,Nick,Buchert,3   
0,1195,Derrick,Stafford,9   
1,1664,Gary,Zielinski,59  
2,201245,Marat,Kogut,32  
0,1152,Dan,Crawford,43  
1,2714,David,Guthrie,16  
2,202027,Tre,Maddox,73  
0,1830,Marc,Davis,8   
1,2532,Eli,Roe,44  
2,201640,Kane,Fitzgerald,5   
0,1146,Tony,Brothers,25  
1,2148,Mark,Ayotte,56  
2,202000,Steve,Anderson,35  
0,2004,Courtney,Kirkland,61  
1,200833,Eric,Dalen,37  
2,202026,Karl,Lane,77  
0,1179,Rodney,Mott,71  
1,202058,James,Williams,60  
2,203591,Mitchell,Ervin,27  
0,2882,Sean,Wright,4   
1,201246,Kevin,Cutler,34  
2,201638,Brent,Barnaky,70  
0,101283,Brian,Forte,45  
1,201639,Josh,Tiven,58  
2,202053,Scott,Twardoski,52  
0,1199,Tom,Washington,49  
1,2715,Eric,Lewis,42  
2,202049,Ben,Taylor,46  
0,2529,Tony,Brown,6   
1,2534,Zach,Zarba,15  
2,202037,J.T.,Orr,72  
0,1194,Bill,Spooner,22  
1,1363,Bennie,Adams,47  
2,203592,Dedric,Taylor,21  
0,1168,David,Jones,36  
1,1176,Monty,McCutchen,13  
2,1204,Derek,Richardson,63  
0,1162,Scott,Foster,48  
1,2002,Derrick,Collins,11  
2,203177,Lauren,Holtkamp,7   
0,1151,Sean,Corbin,33  
1,1179,Rodney,Mott,71  
2,203591,Mitchell,Ervin,27  
0,1174,Ken,Mauer,41  
1,2003,Pat,Fraher,26  
2,200832,Curtis,Blair,74  
0,1152,Dan,Crawford,43  
1,2714,David,Guthrie,16  
2,203592,Dedric,Taylor,21  
0,1195,Derrick,Stafford,9   
1,2002,Derrick,Collins,11  
2,201245,Marat,Kogut,32  
0,1188,Leroy,Richardson,20  
1,1199,Tom,Washington,49  
2,201246,Kevin,Cutler,34  
0,101284,John,Goble,30  
1,200833,Eric,Dalen,37  
2,203593,Justin,VanDuyne,64  
0,2148,Mark,Ayotte,56  
1,2715,Eric,Lewis,42  
